"filename", "language", "Dart", "comment", "blank", "total"
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\app_router.dart", "Dart", 205, 13, 15, 233
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\application\providers\datasource_providers.dart", "Dart", 12, 0, 2, 14
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\application\providers\firebase_providers.dart", "Dart", 26, 0, 2, 28
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\application\providers\get_it_init.dart", "Dart", 18, 0, 4, 22
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\application\providers\hive_providers.dart", "Dart", 26, 3, 7, 36
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\application\providers\repository_providers.dart", "Dart", 59, 1, 3, 63
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\application\providers\service_providers.dart", "Dart", 82, 0, 2, 84
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\application\providers\usecase_providers.dart", "Dart", 23, 0, 2, 25
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\chat_viewer_test_script.dart", "Dart", 179, 5, 22, 206
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\bottomsheetoption.dart", "Dart", 97, 8, 10, 115
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\countdown_timer.dart", "Dart", 70, 2, 16, 88
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\create_event_popup.dart", "Dart", 33, 0, 4, 37
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\custom_tab_bar.dart", "Dart", 60, 5, 6, 71
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\empty.dart", "Dart", 0, 0, 2, 2
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\event_card.dart", "Dart", 438, 6, 32, 476
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\eventcardbackgroundpainter.dart", "Dart", 43, 9, 13, 65
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\header.dart", "Dart", 65, 6, 8, 79
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\input_box.dart", "Dart", 12, 0, 4, 16
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\login_button.dart", "Dart", 67, 2, 10, 79
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\map_create_button.dart", "Dart", 32, 0, 4, 36
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\map_filter_chip.dart", "Dart", 72, 2, 6, 80
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\popup.dart", "Dart", 115, 5, 6, 126
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\components\popup_next_button.dart", "Dart", 41, 2, 4, 47
